Family,Genus,Species,Genus description,Genus details,Characteristics_Foliage,Characteristics_Habit,Characteristics _Hardiness,Colour in autumn fruits,Colour in autumn foliage,Colour in autumn flowers,Colour in spring foilage,Colour in spring flower,Colour in summer  foilage,Colour in summer  flower,Colour in winter  foilage,Colour in winter  flower,Sunlight type,Sunlight aspect,Sunlight exposure,Soil type,Soil moisture,Soil pH,Size Ultimate height,Size Ultimate spread,Size Time to ultimate height,How to grow_Cultivation,How to grow_ Propogation,How to grow_ Suggested planting locations and garden types,How to care_ Pruning,How to care_Pests,How to care_Diseases
Agapanthaceae,Agapanthus,,"Agapanthus are clump-forming perennials with narrowly strap-shaped leaves, evergreen in some species, and erect stems bearing umbels of funnel-shaped blue or white flowers","Exmoor' is a clump-forming perennial with deciduous, strap-shaped foliage and, in summer, rounded umbels of rich blue flowers with darker blue veining held on upright stems to 90cm tall",deciduous,Clump-forming,H4,,green,,green,,green,blue,,,full sun,South-facing or East-facing or West-facing,Sheltered,"Chalk, Loam, Sand",Moist but well-drained,"Neutral, Acid, Alkaline",0.5-1 metres,0.1-0.5 metres,2-5 years,"Grow in fertile, moist but well-drained soil in full sun or grow in a container. In cold areas, mulch well overwinter and take containers under cover. See agapanthus cultivation",Propagate by division every three to four years in spring,Wall-side Borders Drought Resistant Cut Flowers Flower borders and beds City & Courtyard Gardens Cottage & Informal Garden Patio & Container Plants Mediterranean Climate Plants Coastal,"In late autumn remove any remaining leaves, but seedheads can be left as they look attractive over winter",May be affected by agapanthus gall midge,A virus disease may be a problem
Asteraceae,Chrysanthemum,,"Chrysanthemum are erect woody-based perennials with aromatic, pinnately lobed leaves and flowerheads of diverse form, from late summer to late autumn",Constable' is a compact herbaceous perennial to around 30cm tall bearing semi-double pale yellow flowerheads from early autumn,Deciduous,Bushy,H3,,green,yellow,green,,green,,,,full sun,South-facing or West-facing,Sheltered,loam,Moist but well-drained,"Neutral, Acid, Alkaline",0.1-0.5 metres,0.1-0.5 metres,1 year,Suited to pot cultivation for flowering outdoors this cultivar is considered half-hardy needing winter protection. Water regularly and feed until flower buds colour up.,Propagate by basal cuttings in early spring,Patio & Container Plants,Pinch out cuttings-raised plants at the start of summer to encourage bushiness,"May be susceptible to chrysanthemum leaf miner, glasshouse whitefly and aphids","Susceptible to chrysanthemum white rust, powdery mildews and grey moulds"
Amaryllidaceae,Daffodils,,"Narcissus are bulbous herbaceous perennials with linear leaves and leafless stems bearing flowers, which may be solitary or in umbels, with 6 spreading perianth segments and a cup or trumpet-shaped corona","N. minor is a vigorous, dwarf trumpet daffodil forming a clump of grey-green foliage to 15cm in height, with bright yellow flowers 3cm in width in early spring",Deciduous,Clump-forming,H5,,,,green,yellow,,,,,"full sun, 
partial shade",West-facing or East-facing or South-facing,Exposed or Sheltered,"Clay, 
Chalk, 
Loam, 
Sand","Well-drained, Moist but well-drained","Neutral, Acid, Alkaline",0.1-0.5 metres,0-0.1 metre,2-5 years,"Plant at one and a half to two times its own depth in autumn. Will tolerate most soils but prefers moderately fertile, well-drained soil that is constantly moist during the growing season. See daffodil cultivation for further advice",Propagate by removing offsets as the leaves fade in early summer,Cut Flowers Flower borders and beds Underplanting of Roses and Shrubs City & Courtyard Gardens Patio & Container Plants Cottage & Informal Garden,Deadhead as flowers fade and allow the leaves to die down naturally,"May be attacked by slugs, large narcissus bulb fly, narcissus eelworm, and bulb scale mite",Susceptible to narcissus basal rot
Onagraceae,Fuchsia,,"Fuchsia can be deciduous or evergreen shrubs or trees, rarely perennials, with opposite or whorled leaves and usually pendent flowers with conspicuous tubular calyx, 4 spreading sepals and 4 erect petals",,Deciduous,Bushy,H4,,"green, 
yellow","purple, 
red",green,yellow,"green, 
yellow","purple, 
red",,,"full sun, 
partial shade",South-facing or West-facing or East-facing,Sheltered,"Clay, 
Chalk, 
Loam, 
Sand","Moist but well-drained, 
well-drained","Acid, Alkaline, Neutral",0.1-0.5 metres,0-0.1 metre,2-5 years,"Can be grown outdoors in moist, fertile soil. Plant the base of the stem 5cm below the soil surface and provide a deep winter mulch and shelter from cold drying winds. See fuchsia cultivation for further information.",Propagate by softwood or semi-hardwood cuttin,Low Maintenance Wall-side Borders Flower borders and beds Coastal City & Courtyard Gardens Cottage & Informal Garden Patio & Container Plants,Pruning group 6,"Aphids, capsid bug, fuchsia gall mite and vine weevil may cause problems",May be subject to fuchsia rust
Asparagaceae,Hyacinth,,"Hyacinthus are bulbous perennial with glossy, broadly strap-shaped leaves and fragrant, bell-shaped flowers with recurved petals, borne in loose or dense racemes in spring","Chicago' is a perennial bulb growing to 30cm, with dark green foliage. The flowers are densely packed to create a broad spike of pale blue flushed with mid blue and strongly fragrant",Deciduous,Tufted,H4,,,,green,blue,,,,,"full sun, 
partial shade",West-facing or East-facing or South-facing or North-facing,sheltered,"Clay, 
Chalk, 
Loam, 
Sand","Moist but well-drained, 
well-drained","Acid, Alkaline, Neutral",0.1-0.5 metres,0-0.1 metre,2-5 years,"Plant 10cm deep in autumn in any moderately fertile, humus-rich, well-drained soil. Protect container-grown bulbs from excessive winter wet",Propagate by removing offsets when dormant in summer,Flower borders and beds Cottage & Informal Garden Patio & Container Plants Mediterranean Climate Plants City & Courtyard Gardens,No pruning required,Can be damaged by slugs,Generally disease free
Hydrangeaceae,Hydrangea,,"Hydrangea can be deciduous or evergreen shrubs, or self-clinging climbers, with flowers in clusters usually comprising both small fertile and more showy sterile flowers; often good autumn colour","H. seemanii is a woody, evergreen climber with aerial roots and leathery leaves up to 15cm long. Domed flower-heads, composed of greenish-white, fertile flowers surrounded by white bracts, appear in summer",Evergreen,Climbing,H4,,green,,green,,green,white,green,,"full sun, 
partial shade, 
full shade",South-facing or North-facing or West-facing or East-facing,sheltered,"Clay, 
Loam, 
Sand",Moist but well-drained,"Acid, Alkaline, Neutral",8-12 metres,2.5-4 metres,10-20 years,"Grow in sun or shade, in a moist but well-drained soil enriched with well-rotted organic matter. Will only tolerate a few degrees of frost",Propagate by layering,Wall-side Borders Low Maintenance City & Courtyard Gardens Cottage & Informal Garden,Pruning group 11 after flowering,"Can get aphids, capsid bug, glasshouse red spider mite and hydrangea scale",Generally disease free
Iridaceae,Iris,,"Iris may be rhizomatous or bulbous perennials, with narrow leaves and erect stems bearing flowers with 3 large spreading or pendent fall petals, alternating with 3 erect, often smaller, standard petals, in late winter, spring or early summer","Sulphureux' is a rhizomatous perennial to around 80cm tall with fans of sword-shaped, greyish-green foliage. Flowers borne on well-branched stems from late spring into early summer comprise pale yellow-white standards, creamy falls striped with yellow and brown markings and edged with white and a small orange beard",Deciduous,Clump-forming,H7,,,,,,,,,,full sun,East-facing or South-facing or West-facing,Exposed or Sheltered,"sand,  loam",well drained,"acid, 
neutral",0.5-1 metres,0.1-0.5 metres,2-5 years,"Grow in well-drained, fertile, neutral to slightly acidic soil in full sun. Do not cover the rhizomes with mulch, or allow other plants to shade them; sun on the rhizomes encourages flowering. Give a high potash feed in spring and divide every three to four years. See also bearded iris cultivation",Propagate by division of rhizomes from midsummer to early autumn; see dividing irises,Flower borders and beds Wall-side Borders Coastal Cottage & Informal Garden City & Courtyard Gardens,Remove any dying foliage in autumn; old flower stems can be cut down after flowering,"May be attacked by slugs, snails and thrips","May be subject to iris rhizome rot, a leaf spot and a virus; see iris diseases"
Oleaceae,Jasmine,,"Jasminum are evergreen or deciduous shrubs, many climbing by twining stems bearing usually pinnate leaves, and star-shaped white, pink or yellow flowers, which are sometimes very fragrant. Fruit a black berry","J. officinale is a large deciduous climbing shrub, leaves pinnate, with 7-9 ovate leaflets. Scented white flowers 2cm in width open in clusters of 3 to 5",Deciduous,Climbing,H5,black,,white,green,,green,white,,,"full sun, 
partial shade",South-facing or West-facing,Sheltered,"Sand, Clay, Loam, Chalk","Well-drained, Moist but well-drained","Alkaline, Acid, Neutral",4-8 metres,1.5-2.5 metres,5-10 years,"To bring out the sweet fragrance of the flowers, the ideal planting position should be warm, sunny and sheltered but it will cope with partial shade and colder positions provided the soil is well-drained","Propagate by layering, hardwood cuttings or semi-hardwood cuttings",Ground Cover Low Maintenance Wall-side Borders Coastal,"Prune out thin, old shoots after flowering",Generally pest free,Generally disease free
Lamiaceae,Lavender,,"Lavandula are small aromatic evergreen shrubs with usually narrow, simple, entire, toothed or lobed leaves and small tubular flowers in dense spikes in summer",Pukehou' is an evergreen shrub to around 60cm tall and wide with greyish-green foliage and spikes of deep purple flowerheads topped with up to five showy purple-blue bracts from late spring into summer,Evergreen,Bushy,H4,,"green, 
grey, 
silver",,"green, 
grey, 
silver","blue, 
purple","green, 
grey, 
silver","blue, 
purple","green, 
grey, 
silver",,full sun,South-facing or West-facing or East-facing,Sheltered,"Sand, Chalk, Loam",Well-drained,"Acid, Alkaline, Neutral",0.5-1 metres,0.5-1 metres,2-5 years,Grow in sharply-drained soil in full sun,Propagate by semi-ripe cuttings in summer,Banks and Slopes Drought Resistant Flower borders and beds Garden Edging City & Courtyard Gardens Patio & Container Plants Wildlife Gardens Mediterranean Climate Plants Coastal Cottage & Informal Garden Gravel Garden Rock Garden,Pruning group 10 - continually deadhead through the flowering season,Generally trouble free. May be prone to rosemary beetle and cuckoo spit (froghoppers),Generally trouble free
Paeoniaceae,Peony,,"Paeonia may be herbaceous perennials or deciduous sub-shrubs with large, divided leaves and showy large bowl-shaped flowers, usually in early summer","P. mascula is an erect, herbaceous perennial with bluish-green leaves divided into nine leaflets. Single, scented, deep purplish-red or rose pink flowers, 7-13cm across, with a boss of dark yellow stamens, are produced in spring",Deciduous,Clump-forming,H6,,green ,,green,"red,
yellow",green,,,,"full sun, partial shade",South-facing or West-facing or East-facing,Sheltered,"Sand, Clay, Loam",Moist but well-drained,"Acid, Neutral, Alkaline",0.5-1 metres,0.5-1 metres,2-5 years,"Best in a deep, fertile, humus-rich soil that is moist but well-drained in a sheltered position in full sun or partial shade. Long-lived but resents disturbance. See herbaceous peony cultivation for further information.","Propagate by seed sown in containers outdoors in autumn or early winter (may take two or three years to germinate), or by division in autumn or early spring",Cut Flowers Flower borders and beds City & Courtyard Gardens Cottage & Informal Garden,"Remove dead flowers as they fade, then cut back plant as the foliage dies down in autumn",Can be affected by leaf and bud eelworm and soil-dwelling swift moth larvae,"May be subject to a virus, honey fungus and peony wilt"
Ericaceae,Rhododendron,,"Rhododendron can be evergreen or deciduous shrubs or trees, with simple leaves, sometimes with a dense colourful indumentum of hairs on the lower side, and funnel-shaped, bell-shaped or tubular flowers that may be solitary or in short racemes","Bashful' is a spreading evergreen shrub with silvery young growth and narrow, red-tinged dark green leaves. Compact trusses of brown-blotched, light rose-pink flowers which fade to near-white with age, are borne in late spring",Evergreen,Bushy,H5,,green,,"grey, 
silver",pink,green,,green,,partial shade,West-facing or South-facing or East-facing,Sheltered,"Sand, Clay, Loam",Moist but well-drained,acid,1-1.5 metres,1-1.5 metres,10-20 years,"Grow in moist but well-drained, leafy, humus-rich acid soil in part shade with shelter; see rhododendron cultivation","Propagate by semi-ripe cuttings in late summer, layering in autumn or grafting in late summer or late winter",Low Maintenance Hedging & Screens Cottage & Informal Garden,Pruning group 8,"May be attacked by vine weevil, rhododendron leafhopper, pieris lacebug, scale insects, caterpillars and aphids","May be affected by various Rhododendron diseases including powdery mildews, rhododendron petal blight, rhododendron bud blast, silver leaf and honey fungus"
"Rosaceae
",Roses,,"Rosa can be deciduous or semi-evergreen shrubs or scrambling climbers, with usually thorny stems bearing compound pinnate leaves and solitary or clustered flowers. Flowers may be followed by showy red or purple fruits in some varieties.","Mary Rose is an upright shrub rose to 1.2m tall with twiggy growth and fragrant, cupped, double rose-pink, loose-petalled flowers 8-9cm across in summer and autumn",deciduous,Bushy,H6,,,,,,,,,,full sun,East-facing or South-facing or West-facing,Sheltered,"Sand, Clay, Chalk, Loam","Well-drained, Moist but well-drained","Acid, Neutral, Alkaline",1-1.5 metres,0.5-1 metres,2-5 years,"Grow in full sun with fertile, humus-rich, moist but well-drained soil. For best flowering apply a balanced fertiliser and mulch in late winter or early spring and a balanced fertiliser again in early summer. See rose cultivation",Propagate by hardwood cuttings in autumn or by chip budding in summer,Cut Flowers Flower borders and beds City & Courtyard Gardens Cottage & Informal Garden,Pruning group 20 (roses),"Aphids, rose leafhopper, glasshouse red spider mite, scale insects, caterpillars, large rose sawfly and rose leaf-rolling sawfly may be a problem. Deer and rabbits can cause damage","May be subject to black spot, rose rust, rose powdery mildew and a downy mildew"
Amaryllidaceae,Snowdrops,,"Galanthus are dwarf bulbous perennials with linear or strap-shaped leaves, and solitary, often honey-scented, nodding flowers with 3 white outer tepals and 3 smaller inner ones often marked with green","Kildare' is a bulbous perennial, to 15cm tall, with relatively broad, grey-green leaves and solitary, nodding, white flowers in mid- to late winter. The outer segments are marked with fine green lines at the tips; the inner ones almost all green, lighter towards the base",Deciduous,Clump-forming,H5,, ,,"green, 
grey, 
silver",,,,"green, 
grey, 
silver",white,"partial shade, 
full sun",South-facing or West-facing or East-facing,Exposed or Sheltered,"Sand, Loam, Clay, Chalk","Well-drained, Moist but well-drained","Alkaline, Neutral, Acid",0.1-0.5 metres,0.1-0.5 metres,2-5 years,"Grow in humus-rich, moist but well-drained soil that does not dry out in summer in sun or partial shade. See snowdrop cultivation",Propagate by seed sown in containers in an open frame when ripe or by division when foliage dies back. Seed may not come true,Banks and Slopes Underplanting of Roses and Shrubs Flower borders and beds Garden Edging Low Maintenance City & Courtyard Gardens Patio & Container Plants Cottage & Informal Garden Rock Garden,No pruning required,May be attacked by narcissus bulb fly,May be subject to snowdrop grey mould
Liliaceae,Tulip,,"Tulipa are bulbous perennials with characteristic flowers, in a wide range of colours, in spring","Bastogne' is a strong variety producing dark green leaves followed by large, red scented flowers in the spring",Deciduous,Columnar/Upright,H6,,,,green,red,,,,,full sun,South-facing or East-facing or West-facing,Sheltered,"Sand, Chalk, Loam",Well-drained,"Acid, Alkaline, Neutral",0.5 - 1 metre,0.5 - 1 metre,1-2 years,"Plant 10 to 15cm deep in fertile, well-drained soil. Protect from excessive wet and shelter from strong winds. See tulip cultivation",Propagate by lifting and separating offsets; see bulb propagation,Flower borders and beds,Deadhead after flowering,"Can be damaged by slugs, aphids and stem and bulb eelworm; squirrels may eat the bulbs","May be subject to tulip fire, tulip viruses and bulb rots"
Fabaceae,Wisteria,,Wisteria are vigorous woody climbers with twining stems bearing pinnate leaves and long pendulous racemes of fragrant pea-like flowers in spring and early summer,"W. brachybotrys is a vigorous, deciduous climber twining anticlockwise and reaching a height and spread of 9m or more. The leaves comprise 9-13 oval to ovate, downy leaflets. Slightly fragrant, violet-blue to white flowers up to 3cm long are borne in racemes 10-15cm long and followed by velvety seedpods",deciduous,Climbing,H6,,green,,green,,green,"blue,
purple,
white",,,"full sun, 
partial shade",South-facing or West-facing,Sheltered,"Sand, Clay, Chalk, Loam",Moist but well-drained,"Neutral, Acid, Alkaline",8-12 metres,wider than 8 metres,10-20 years,"Propagate by layering, softwood cuttings, hardwood cuttings or grafting",Wall-side Borders Cottage & Informal Garden City & Courtyard Gardens,Pruning wisteria,May be affected by scale insects including wisteria scale,May be affected by a leaf spot and powdery mildews,